City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Zhigansk,66.77,123.37,few clouds,16.99,96,18,10.33,RU,2020-05-09 22:25:48,0,0
57,Teya,60.38,92.63,overcast clouds,52.92,76,100,5.03,RU,2020-05-09 22:25:48,0,0
58,Shimoda,34.67,138.95,mist,62.6,100,75,1.12,JP,2020-05-09 22:25:48,0,0
59,Qurayyat,31.33,37.34,clear sky,60.8,63,0,6.93,SA,2020-05-09 22:25:49,0,0
60,Pevek,69.7,170.31,overcast clouds,37.72,74,100,12.5,RU,2020-05-09 22:25:49,0,0
61,Leshukonskoye,64.9,45.76,clear sky,38.34,91,2,6.17,RU,2020-05-09 22:24:52,0,0
62,Bambous Virieux,-20.34,57.76,scattered clouds,75.2,78,40,9.17,MU,2020-05-09 22:25:49,0,0
63,Roald,62.58,6.13,light snow,37.99,69,98,12.75,NO,2020-05-09 22:25:49,0,0
64,Georgetown,5.41,100.34,scattered clouds,80.6,100,40,3.36,MY,2020-05-09 22:25:49,0,0
65,Hermanus,-34.42,19.23,clear sky,64.99,64,0,1.01,ZA,2020-05-09 22:25:49,0,0
66,Jingdezhen,29.29,117.21,broken clouds,64.58,90,55,3.94,CN,2020-05-09 22:25:50,0,0
67,San Cristobal,7.77,-72.22,broken clouds,84.2,51,75,23.04,VE,2020-05-09 22:25:50,0,0
68,Steinbach,50.17,8.57,scattered clouds,62.01,82,40,5.82,DE,2020-05-09 22:25:50,0,0
69,Saint-Philippe,-21.36,55.77,few clouds,69.8,73,20,8.05,RE,2020-05-09 22:25:50,0,0
70,Clyde River,70.47,-68.59,overcast clouds,14.0,85,90,12.75,CA,2020-05-09 22:25:50,0,0
71,Severnyy,50.68,36.55,clear sky,46.4,81,10,4.47,RU,2020-05-09 22:25:50,0,0
72,Henties Bay,-22.12,14.28,clear sky,70.72,48,0,8.7,NA,2020-05-09 22:25:50,0,0
73,Martapura,-3.42,114.85,broken clouds,75.2,100,75,1.12,ID,2020-05-09 22:25:50,0,0
74,Hithadhoo,-0.6,73.08,light rain,84.49,78,90,12.93,MV,2020-05-09 22:25:51,0,0
75,Barrow,71.29,-156.79,clear sky,28.4,86,1,10.29,US,2020-05-09 22:25:51,0,0
76,Cape Town,-33.93,18.42,fog,59.0,100,75,3.36,ZA,2020-05-09 22:21:29,0,0
77,Saravan,39.72,45.65,thunderstorm with light rain,53.6,87,90,9.17,AM,2020-05-09 22:25:51,0,0
78,Tokur,53.13,132.9,overcast clouds,42.39,63,91,1.83,RU,2020-05-09 22:25:51,0,0
79,Dudinka,69.41,86.18,broken clouds,30.2,86,75,17.9,RU,2020-05-09 22:25:51,0,0
80,Varhaug,58.61,5.65,light rain,42.8,81,75,6.93,NO,2020-05-09 22:25:51,0,0
81,Punta Arenas,-53.15,-70.92,overcast clouds,42.8,93,90,2.59,CL,2020-05-09 22:25:51,0,0
82,Tongzi,28.78,105.09,broken clouds,59.31,81,63,1.95,CN,2020-05-09 22:25:52,0,0
83,Vestmanna,62.16,-7.17,light snow,30.2,68,31,16.11,FO,2020-05-09 22:25:52,0,0
84,Mezen,65.85,44.24,light rain,41.09,90,84,8.46,RU,2020-05-09 22:25:52,0,0
85,Asau,46.43,26.4,broken clouds,50.0,86,52,3.13,RO,2020-05-09 22:25:44,0,0
86,Chirongui,-12.93,45.15,light rain,78.8,94,57,2.24,YT,2020-05-09 22:25:52,0,0
87,Sur,22.57,59.53,clear sky,85.32,40,0,6.4,OM,2020-05-09 22:25:52,0,0
88,Port Alfred,-33.59,26.89,clear sky,61.0,96,0,1.01,ZA,2020-05-09 22:24:38,0,0
89,Ponta Do Sol,32.67,-17.1,scattered clouds,66.2,72,40,2.24,PT,2020-05-09 22:25:52,0,0
90,Kodiak,57.79,-152.41,light rain,44.6,93,90,5.82,US,2020-05-09 22:24:58,0,0
91,Kahului,20.89,-156.47,scattered clouds,80.6,61,40,21.92,US,2020-05-09 22:22:30,0,0
92,Port Macquarie,-31.43,152.92,clear sky,61.0,85,0,15.3,AU,2020-05-09 22:25:53,0,0
93,Porto Santo,33.07,-16.34,broken clouds,64.4,88,75,11.41,PT,2020-05-09 22:25:53,0,0
94,Mahebourg,-20.41,57.7,scattered clouds,75.2,78,40,9.17,MU,2020-05-09 22:25:53,0,0
95,Narrabri,-30.32,149.78,clear sky,52.0,81,0,6.93,AU,2020-05-09 22:25:53,0,0
96,Pakxe,15.12,105.78,light rain,79.52,84,97,3.4,LA,2020-05-09 22:25:53,0,0
97,Taoudenni,22.68,-3.98,few clouds,96.78,12,18,6.2,ML,2020-05-09 22:24:38,0,0
98,Progreso,21.28,-89.67,broken clouds,86.0,66,75,9.17,MX,2020-05-09 22:25:53,0,0
99,Qaanaaq,77.48,-69.36,broken clouds,12.07,86,67,3.74,GL,2020-05-09 22:25:54,0,0
100,Alappuzha,9.49,76.33,light rain,84.24,82,100,5.7,IN,2020-05-09 22:25:54,0,0
101,Haukipudas,65.18,25.35,clear sky,35.6,80,0,5.82,FI,2020-05-09 22:25:54,0,0
102,Labuhan,-6.88,112.21,overcast clouds,75.92,89,95,7.99,ID,2020-05-09 22:25:54,0,0
103,Longyearbyen,78.22,15.64,few clouds,17.6,57,20,12.75,SJ,2020-05-09 22:24:55,0,0
104,Magadan,59.57,150.8,broken clouds,37.87,72,63,9.46,RU,2020-05-09 22:25:54,0,0
105,Port Hardy,50.7,-127.42,broken clouds,68.0,45,75,3.36,CA,2020-05-09 22:25:54,0,0
106,Boulsa,12.67,-0.58,broken clouds,94.3,30,53,6.93,BF,2020-05-09 22:25:55,0,0
107,Victoria,22.29,114.16,broken clouds,82.0,83,73,6.13,HK,2020-05-09 22:25:55,0,0
108,Bredasdorp,-34.53,20.04,clear sky,60.8,87,0,2.06,ZA,2020-05-09 22:25:55,0,0
109,Chapais,49.78,-74.85,light snow,28.4,63,90,8.05,CA,2020-05-09 22:25:05,0,0
110,Kavieng,-2.57,150.8,clear sky,84.43,75,2,8.75,PG,2020-05-09 22:25:55,0,0
111,Opuwo,-18.06,13.84,clear sky,64.71,39,0,7.18,NA,2020-05-09 22:25:55,0,0
112,Merauke,-8.47,140.33,light rain,80.19,85,1,13.65,ID,2020-05-09 22:25:05,0,0
113,Dikson,73.51,80.55,overcast clouds,25.52,97,91,18.03,RU,2020-05-09 22:25:56,0,0
114,Portel,-1.94,-50.82,light rain,77.49,94,100,2.19,BR,2020-05-09 22:25:56,0,0
115,Esperance,-33.87,121.9,clear sky,46.4,81,0,13.87,AU,2020-05-09 22:25:56,0,0
116,Colac,-38.33,143.58,few clouds,42.01,98,12,5.23,AU,2020-05-09 22:23:08,0,0
117,Banda Aceh,5.56,95.32,overcast clouds,78.15,89,100,7.65,ID,2020-05-09 22:24:46,0,0
118,Klaksvik,62.23,-6.59,light snow,30.2,68,54,16.11,FO,2020-05-09 22:25:56,0,0
119,Camacha,33.08,-16.33,broken clouds,64.4,88,75,11.41,PT,2020-05-09 22:25:21,0,0
120,Namatanai,-3.67,152.43,clear sky,84.15,72,1,4.92,PG,2020-05-09 22:25:57,0,0
121,Lebu,-37.62,-73.65,light rain,57.76,82,100,18.23,CL,2020-05-09 22:25:57,0,0
122,Airai,-8.93,125.41,overcast clouds,56.88,100,100,3.6,TL,2020-05-09 22:24:49,0,0
123,Aswan,24.09,32.91,clear sky,73.29,26,0,12.48,EG,2020-05-09 22:25:57,0,0
124,Saint-Alexandre,44.23,4.62,broken clouds,60.01,83,69,5.57,FR,2020-05-09 22:25:57,0,0
125,Hobart,-42.88,147.33,scattered clouds,48.0,81,40,8.05,AU,2020-05-09 22:24:41,0,0
126,Port Hedland,-20.32,118.57,broken clouds,77.0,34,63,10.29,AU,2020-05-09 22:25:57,0,0
127,Joshimath,30.57,79.57,scattered clouds,51.96,44,26,6.85,IN,2020-05-09 22:25:58,0,0
128,Katsuura,35.13,140.3,broken clouds,66.0,94,81,8.01,JP,2020-05-09 22:25:33,0,0
129,Gamba,-2.65,10.0,overcast clouds,77.16,87,88,2.59,GA,2020-05-09 22:25:58,0,0
